	freq	pmi	quadgram	t-score	z-score
320	5	23.213554191199435	тогда_adv только_part тогда_adv когда_adv	3.829245731306816e-05	3.829245731306816e-05
574	4	23.198558301870186	квадратный_a трехчлен_s на_pr множитель_s	3.063396580700009e-05	3.063396580700009e-05
52	13	23.18420410446003	быть_v записать_partcp в виде_pr	9.956038873618463e-05	9.956038873618463e-05
194	7	23.16576316877015	приходить_v к_pr заключение_s что_conj	5.360943999316328e-05	5.360943999316328e-05
217	6	23.095846013388293	записать_partcp в виде_pr где_adv	4.5950948245361835e-05	4.5950948245361835e-05
901	3	23.087057441018047	дробь_s система_s счисление_s рациональный_a	2.297547410200144e-05	2.297547410200144e-05
963	3	23.08499294562331	для_pr приближенный_a нахождение_s корень_s	2.297547409712539e-05	2.297547409712539e-05
35	15	23.067094662853624	нелинейный_a объект_s на_pr плоскость_s	0.00011487737027279202	0.00011487737027279202
68	11	23.059751334508363	система_s вычет_s по_pr модуль_s	8.424340480211559e-05	8.424340480211559e-05
419	5	23.021638685147742	теорема_s о_pr базисный_a минор_s	3.829245657341318e-05	3.829245657341318e-05
726	4	23.020456948232802	мочь_v быть_v свести_partcp к_pr	3.063396525483764e-05	3.063396525483764e-05
682	4	23.02000805381358	точка_s подозрительный_a на_pr экстремум_s	3.063396525335805e-05	3.063396525335805e-05
854	3	23.004819512883625	число_s алгоритм_s евклид_s основной_a	2.2975473902267278e-05	2.2975473902267278e-05
413	5	22.993395776742897	зависеть_v от_pr выбор_s система_s	3.829245645601741e-05	3.829245645601741e-05
261	6	22.97673129222949	сравнение_s сложение_s умножение_s на_pr	4.595094766279593e-05	4.595094766279593e-05
356	5	22.94661592838823	хотя бы_adv один_a точка_s	3.829245625644249e-05	3.829245625644249e-05
846	3	22.915435161772287	основной_a теорема_s арифметика_s простой_a	2.297547367186643e-05	2.297547367186643e-05
